knowledge,Question,right_answer,hallucinated_answer,Question ID
" He transferred to Wolverhampton Wanderers for a club record fee, but due to a clash with manager Stan Cullis, he moved back to QPR after only nine games. During his term as manager between 1948 and 1964, Wolves became one of the strongest teams in the British game, winning the league title on three occasions, and playing a series of high-profile friendly matches against top European sides which acted as a precursor to the European Cup.",The manager in which Mark Lazarus clashed with served as manager for the Wolverhampton Wanderers during which years?,1948 and 1964,Mark Lazarus clashed with the manager of Wolverhampton Wanderers during the years of 1950 and 1960.,6252
"No. 11 Squadron is a Royal Australian Air Force (RAAF) maritime patrol squadron based at RAAF Base Edinburgh.RAAF Base Edinburgh (ICAO: YPED) is a Royal Australian Air Force (RAAF) military airbase located in Edinburgh, 25 km north of the centre of Adelaide, South Australia, in Australia","No. 11 Squadron RAAF was based at what base, 25 km north of Adelaide?",RAAF Base Edinburgh,"RAAF Base Edinburgh, located in Australia.",4684
"Kim Roi-ha (born November 15, 1965) is a South Korean actor. Notable roles include a detective in ""Memories of Murder"" (2003), and a gangster in ""A Bittersweet Life"" (2005). It is based on the true story of Korea's first serial murders in history, which took place between 1986 and 1991 in Hwaseong, Gyeonggi Province.",Which movie starring Kim Roi-ha is based on Korea's first serial murders in history?,Memories of Murder,"Kim Roi-ha starred in ""The Host"".",1731
" The film stars Jeremy Blackman, Tom Cruise, Melinda Dillon, Philip Baker Hall, Philip Seymour Hoffman, Ricky Jay, William H. Macy, Alfred Molina, Julianne Moore, John C. Reilly, Jason Robards and Melora Walters, and is a mosaic of interrelated characters in search of happiness, forgiveness and meaning in the San Fernando Valley. He was also a United States Navy combat veteran of World War II.",Which Magnolia actor was also a United States Navy Combat veteran in World War II?,Jason Robards,Philip Baker Hall was also a Navy veteran.,4742
"Greatest Hits: Back to the Start is the second greatest hits album by Megadeth. The title ""Back to the Start"" is a reference to lyrics in ""Rust in Peace...Polaris"" from Megadeth's 1990 album ""Rust in Peace"": """"The day of final conflict/All pay the price/The third World War rapes peace/Takes life back to the start""""Rust in Peace is the fourth studio album by the American thrash metal band Megadeth, released on September 24, 1990 by Capitol Records.",What music group had a greatest hits album that references their fourth studio album in the title?,Megadeth,Metallica had a greatest hits album that references their fourth studio album in the title.,4521
"The 2000 Belmont Stakes was the 132nd running of the Belmont Stakes and the 96th time the event took place at Belmont Park in Elmont, New York.Belmont Park is a major Thoroughbred horse-racing facility located in Elmont, New York, just outside New York City limits.","The 2000 Belmont Stakes was the 132nd running of the Belmont Stakes and the 96th time the event took place at Belmont Park is a major Thoroughbred horse-racing facility located in Elmont, New York, just outside which city limits?",New York City,"The 2000 Belmont Stakes was held just outside the limits of Yonkers, New York.",6340
"Mario Fernandez (born 1984), better known as Wizzo or wizzogmb, is a Mexican-American hip-hop/electronic producer, recording/mixing engineer, and DJ based in Santa Ana, Ca.Keenon Daequan Ray Jackson (born March 9, 1990), better known by his stage name YG, is an American rapper and actor from Compton, California.",What state are both Wizzo and YG based in?,California,Wizzo and YG are from Southern California.,576
"Bartolomé Saraví Melo (1797-1862) was an Argentine army officer and politician, hero of the Argentine War of Independence. He served as General Minister of La Rioja Province, Argentina in 1847. The dinosaur ""Riojasaurus"" is named after the province.",Which dinosaur was named after the province where Bartolome Saravi was General Minister in 1847?,Riojasaurus,Saravisaurus was named after the province.,5202
"Ezra Michael Koenig (born April 8, 1984) is an American musician, singer, songwriter, and radio personality.Sharon Janny den Adel (born 12 July 1974) is a Dutch singer, songwriter and fashion designer, best known as the lead vocalist and one of the main songwriters in the Dutch symphonic metal band Within Temptation.","Who was born first, Sharon den Adel or Ezra Koenig?",Sharon Janny den Adel,Ezra Koenig was born first.,6363
"Lookwell was a television pilot written and produced by Conan O'Brien and Robert Smigel, the latter of whom would become a primary creative voice for O'Brien's late night show. Despite being a ""personal favorite"" of NBC chairman Brandon Tartikoff, the pilot was not picked up as a series.Brandon Tartikoff (January 13, 1949 – August 27, 1997) was an American television executive who was the president of NBC from 1980 to 1991.","Lookwell was a television pilot written and produced by Conan O'rien and Robert Smigel, and was a personal favorite of what American television executive who was president of NBC from 1980-1991?",Brandon Tartikoff,Lookwell was almost picked up as a series by David Letterman.,439
