question_id,Answer,Confidence,raw,error,min_age,sex,radius,bin_width,top_n
le_spd_0_male_2,77.0,0.095,"```json
[
  {""min"": 76, ""max"": 78, ""confidence"": 0.095},
  {""min"": 74, ""max"": 76, ""confidence"": 0.085},
  {""min"": 78, ""max"": 80, ""confidence"": 0.080},
  {""min"": 72, ""max"": 74, ""confidence"": 0.075},
  {""min"": 80, ""max"": 82, ""confidence"": 0.070},
  {""min"": 70, ""max"": 72, ""confidence"": 0.065},
  {""min"": 82, ""max"": 84, ""confidence"": 0.060},
  {""min"": 68, ""max"": 70, ""confidence"": 0.055},
  {""min"": 84, ""max"": 86, ""confidence"": 0.050},
  {""min"": 86, ""max"": 88, ""confidence"": 0.040}
]
```",,0,male,1,2,10
le_spd_0_male_10,80.0,0.25,"```json
[
  {""min"": 75, ""max"": 85, ""confidence"": 0.25},
  {""min"": 65, ""max"": 75, ""confidence"": 0.20},
  {""min"": 85, ""max"": 95, ""confidence"": 0.18},
  {""min"": 55, ""max"": 65, ""confidence"": 0.12},
  {""min"": 95, ""max"": 105, ""confidence"": 0.10},
  {""min"": 45, ""max"": 55, ""confidence"": 0.08},
  {""min"": 35, ""max"": 45, ""confidence"": 0.04},
  {""min"": 25, ""max"": 35, ""confidence"": 0.02},
  {""min"": 15, ""max"": 25, ""confidence"": 0.005},
  {""min"": 0, ""max"": 10, ""confidence"": 0.003}
]
```",,0,male,5,10,10
le_spd_0_male_20,80.0,0.35,"```json
[
  {""min"": 70, ""max"": 90, ""confidence"": 0.35},
  {""min"": 50, ""max"": 70, ""confidence"": 0.25},
  {""min"": 90, ""max"": 110, ""confidence"": 0.20},
  {""min"": 30, ""max"": 50, ""confidence"": 0.15},
  {""min"": 0, ""max"": 20, ""confidence"": 0.05}
]
```",,0,male,10,20,5
le_spd_0_male_40,90.0,0.5,"```json
[
  {""min"": 70, ""max"": 110, ""confidence"": 0.50},
  {""min"": 75, ""max"": 115, ""confidence"": 0.35},
  {""min"": 65, ""max"": 105, ""confidence"": 0.15}
]
```",,0,male,20,40,3
le_spd_1_male_2,79.0,0.12,"```json
[
  {""min"": 78, ""max"": 80, ""confidence"": 0.12},
  {""min"": 76, ""max"": 78, ""confidence"": 0.11},
  {""min"": 80, ""max"": 82, ""confidence"": 0.10},
  {""min"": 74, ""max"": 76, ""confidence"": 0.09},
  {""min"": 82, ""max"": 84, ""confidence"": 0.08},
  {""min"": 72, ""max"": 74, ""confidence"": 0.07},
  {""min"": 84, ""max"": 86, ""confidence"": 0.07},
  {""min"": 70, ""max"": 72, ""confidence"": 0.06},
  {""min"": 86, ""max"": 88, ""confidence"": 0.05},
  {""min"": 68, ""max"": 70, ""confidence"": 0.04}
]
```",,1,male,1,2,10
le_spd_1_male_10,75.0,0.25,"```json
[
  {""min"": 70, ""max"": 80, ""confidence"": 0.25},
  {""min"": 80, ""max"": 90, ""confidence"": 0.22},
  {""min"": 60, ""max"": 70, ""confidence"": 0.18},
  {""min"": 90, ""max"": 100, ""confidence"": 0.15},
  {""min"": 50, ""max"": 60, ""confidence"": 0.10},
  {""min"": 100, ""max"": 110, ""confidence"": 0.05},
  {""min"": 40, ""max"": 50, ""confidence"": 0.03},
  {""min"": 30, ""max"": 40, ""confidence"": 0.01},
  {""min"": 20, ""max"": 30, ""confidence"": 0.005},
  {""min"": 10, ""max"": 20, ""confidence"": 0.002}
]
```",,1,male,5,10,10
le_spd_1_male_20,85.0,0.35,"```json
[
  {""min"": 75, ""max"": 95, ""confidence"": 0.35},
  {""min"": 55, ""max"": 75, ""confidence"": 0.25},
  {""min"": 95, ""max"": 115, ""confidence"": 0.20},
  {""min"": 35, ""max"": 55, ""confidence"": 0.15},
  {""min"": 15, ""max"": 35, ""confidence"": 0.05}
]
```",,1,male,10,20,5
le_spd_1_male_40,90.0,0.45,"```json
[
  {""min"": 70, ""max"": 110, ""confidence"": 0.45},
  {""min"": 60, ""max"": 100, ""confidence"": 0.35},
  {""min"": 80, ""max"": 120, ""confidence"": 0.20}
]
```",,1,male,20,40,3
le_spd_2_male_2,79.0,0.085,"```json
[
  {""min"": 78, ""max"": 80, ""confidence"": 0.085},
  {""min"": 76, ""max"": 78, ""confidence"": 0.082},
  {""min"": 80, ""max"": 82, ""confidence"": 0.080},
  {""min"": 74, ""max"": 76, ""confidence"": 0.075},
  {""min"": 82, ""max"": 84, ""confidence"": 0.072},
  {""min"": 72, ""max"": 74, ""confidence"": 0.068},
  {""min"": 84, ""max"": 86, ""confidence"": 0.063},
  {""min"": 70, ""max"": 72, ""confidence"": 0.058},
  {""min"": 86, ""max"": 88, ""confidence"": 0.052},
  {""min"": 68, ""max"": 70, ""confidence"": 0.048}
]
```",,2,male,1,2,10
le_spd_2_male_10,75.0,0.25,"```json
[
  {""min"": 70, ""max"": 80, ""confidence"": 0.25},
  {""min"": 80, ""max"": 90, ""confidence"": 0.22},
  {""min"": 60, ""max"": 70, ""confidence"": 0.18},
  {""min"": 90, ""max"": 100, ""confidence"": 0.15},
  {""min"": 50, ""max"": 60, ""confidence"": 0.10},
  {""min"": 100, ""max"": 110, ""confidence"": 0.05},
  {""min"": 40, ""max"": 50, ""confidence"": 0.03},
  {""min"": 30, ""max"": 40, ""confidence"": 0.01},
  {""min"": 110, ""max"": 120, ""confidence"": 0.006},
  {""min"": 20, ""max"": 30, ""confidence"": 0.004}
]
```",,2,male,5,10,10
